Refinery;Company;Process;Stoppage date;Maintenance completion date;Rating
Primary processes;;;;;
Achinsk;Rosneft;Primary processing;08.06.2015;10.06.2015;5
Krasnodar;Private;Primary processing;22.05.2015;23.06.2015;3
Moscow;Gazprom Neft;Primary processing;25.06.2015;30.06.2015;4
Moscow;Gazprom Neft;Primary processing;25.06.2015;30.06.2015;3
Novokuibyshev;Rosneft;Primary processing;06.10.2014;22.06.2015;3
Ufimsky;Bashneft;Primary processing;07.06.2015;30.06.2015;2
Volgograd;Lukoil;Primary processing;23.06.2015;29.06.2015;3
Yaroslavl (Mendeleev);Private;Primary processing;14.06.2015;22.06.2015;1
Kirishi;Surgutneftegaz;Primary processing;16.05.2015;07.07.2015;3
Kuibyshev;Rosneft;Primary processing;01.06.2015;11.07.2015;4
Kuibyshev;Rosneft;Primary processing;01.06.2015;11.07.2015;4
Novokuibyshev;Rosneft;Primary processing;22.06.2015;31.07.2015;3
Novoufimsk;Bashneft;Primary processing;17.05.2015;31.07.2015;3
Ryazan;Rosneft;Primary processing;11.06.2015;16.07.2015;4
Ufimsky;Bashneft;Primary processing;07.06.2015;31.07.2015;2
Khabarovsk;Alliance;Primary processing;29.06.2015;28.07.2015;3
Angarsk;Rosneft;Primary processing;17.07.2015;26.08.2015;5
Orsk;Private;Primary processing;12.07.2015;31.07.2015;3
Surgut;Gazprom;Primary processing;03.07.2015;22.07.2015;4
Afipsky;Private;Primary processing;08.08.2015;18.08.2015;4
Afipsky;Private;Primary processing;08.08.2015;18.08.2015;4
Novatek Ust-Luga;Novatek;Primary processing;01.08.2015;06.08.2015;4
Novokuibyshev;Rosneft;Primary processing;01.08.2015;30.08.2015;3
